tcs_customer_id;credit_limit;fact_close_date;outstanding;next_pmt;curr_balance_amt;current_delq;ttl_delq_5;ttl_delq_5_29;ttl_delq_30;ttl_delq_30_59;ttl_delq_60_89;ttl_delq_90_plus;delq_balance;max_delq_balance;currency_CHF;currency_EUR;currency_RUB;currency_USD;credits_count
1;19552,7084;4;0,0;405,3388;8296,9788;29,0;1;4;5;2;0;1;6,9388;63,76558;0;0;8;0;8
2;954,0684;1;718,3152;78,352;256,968;0,0;0;0;0;0;0;0;0,0;0,0;0;0;2;0;2
3;1417,4408;1;383,5928;8,5656;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;2;0;2
4;15770,5644;5;9432,0204;1259,774;1569,5964;0,0;0;2;2;0;0;0;0,0;0,0;0;0;9;0;9
5;394,0176;1;0,0;0,0;0,0;0,0;0;2;2;0;0;1;0,0;33,116004;0;0;1;0;1
6;1322,0572;2;0,0;0,0;1507,5456;0,0;0;0;0;1;1;0;0,0;0,0;0;0;2;0;2
7;274,1988;1;136,5516;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;2;0;2
8;552,8132;1;87,7476;0,0;358,6596;0,0;0;0;0;0;0;0;0,0;0,0;0;0;2;0;2
9;875,6832;1;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
10;2625,8876;1;285,505724;0,0;154,6124;31,0;1;5;6;1;0;0;37,574764;95,98784;0;0;3;0;3
11;2878,108;0;2851,1496;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;2;0;2
12;2656,0;0;1011,397828;125,6288;376,8864;0,0;0;0;0;0;0;0;0,0;0,0;0;0;2;0;2
13;4009,9956;1;1361,3992;165,3028;2683,9876;0,0;0;2;2;0;0;0;0,0332;0,0332;0;0;4;0;4
14;4045,4532;1;853,386744;0,0;1190,3196;0,0;0;8;8;1;0;0;0,0;0,0;0;0;3;0;3
15;2324,0;0;2324,0;103,584;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
16;1221,6936;0;837,4036;0,0;0,0;30,0;0;5;5;4;3;0;53,0204;53,0204;0;0;1;0;1
17;10746,508;0;6059,862204;377,9156;3023,856;0,0;0;0;0;0;0;0;0,0;0,0;0;0;7;0;7
18;6244,2892;4;2335,6532;0,0;398,4332;0,0;1;0;1;0;0;0;0,0;83,78518;0;0;6;0;6
19;8831,2;0;2037,2516;0,0;6209,0308;0,0;0;0;0;0;0;0;0,0;0,0;0;0;3;0;3
20;23240,0;0;17752,345772;385,452;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;3;0;3
21;863,3992;2;42,1972;0,0;896,9976;0,0;0;0;0;0;0;0;0,0;0,0;0;0;2;0;2
22;2988,0;1;0,0;0,0;2932,4232;0,0;0;0;0;2;0;0;0,0;0,0;0;0;2;0;2
23;27876,0812;0;1183,2812;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;3;0;3
24;6626,4876;2;5619,20956;126,8904;1425,2428;0,0;0;2;2;0;0;0;0,0;0,0;0;0;6;0;6
25;126,3592;0;0,0;0,0;1399,1808;0,0;0;1;1;0;0;0;0,0;0,0;0;0;2;0;2
26;281,1708;0;83,163344;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
27;1064,7572;2;0,0;0,0;697,6648;0,0;0;2;2;1;0;4;0,0;236,001868;0;0;2;0;2
28;4367,6592;3;2275,362;0,0;2221,08;240,0;0;5;5;6;3;4;458,8572;458,8572;0;0;7;0;7
29;756,96;0;0,0;0,0;3915,774;0,0;0;3;3;0;0;0;0,0;0,0;0;0;1;0;1
30;3432,7472;3;0,0;2452,0192;1953,488;89,0;0;4;4;1;1;4;219,1864;353,5136;0;0;4;0;4
31;8114,91;0;837,682812;0,0;2424,1312;0,0;0;0;0;0;0;0;0,0;0,0;0;0;4;0;4
32;3570,5272;2;1244,7676;24,7672;1038,994;0,0;0;0;0;0;0;0;0,0;0,0;0;0;4;0;4
33;4646,838;5;0,0;0,0;178,3836;0,0;0;0;0;0;0;1;0,0;0,0996;0;0;5;0;5
34;1392,4744;2;819,4424;819,4424;755,7316;990,0;1;1;2;1;1;22;1067,9776;1099,805112;0;0;4;0;4
35;5298,5872;5;1,2948;0,0;2951,0484;0,0;0;0;0;0;0;0;0,0;0,0;0;0;6;0;6
36;12986,678;2;4050,7652;0,0;6205,2128;89,0;8;31;39;9;5;26;279,544;471,4068;0;0;6;0;6
37;1127,97;1;175,3624;0,0;0,0;1213,0;0;0;0;0;0;2;1077,080044;1123,740652;0;0;3;0;3
38;11044,644;2;9562,0316;333,2284;1084,9428;29,0;0;1;1;0;0;0;93,2256;93,2256;0;0;5;0;5
39;1968,2952;4;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;4;0;4
40;7039,1636;3;4198,9036;3775,0724;1206,9196;0,0;0;7;7;0;0;0;0,0;0,0;0;0;5;0;5
41;265,4008;1;0,0;0,0;0,0;0,0;0;1;1;1;1;0;0,0;94,46728;0;0;1;0;1
42;1992,0;1;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
43;1284,0764;2;852,576;113,876;108,232;0,0;1;3;4;0;0;2;0,0;55,116648;0;0;3;0;3
44;168,988;1;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
45;498,0;1;0,0;0,0;845,936;0,0;0;1;1;4;3;6;0,0;0,0;0;0;1;0;1
46;0,0;0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;2;0;2
47;158,5964;1;0,0;0,0;188,078;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
48;2174,3344;3;287,2796;0,0;906,0612;0,0;0;6;6;1;1;2;0,0;561,77388;0;0;4;0;4
49;983,9152;2;0,0;0,0;448,2996;0,0;0;4;4;0;1;4;0,0;106,987;0;0;2;0;2
50;12516,4;0;4211,3868;196,7764;14868,2548;0,0;17;8;25;2;0;0;0,0;157,5008;0;0;4;0;4
51;1481,3176;0;1502,0344;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
52;8327,4896;1;3382,487712;80,2776;4788,7016;18,0;0;2;2;0;1;0;50,753504;50,753504;0;0;4;0;4
53;3373,95;1;2379,874272;24,3688;930,1312;33,0;1;2;3;0;0;0;92,379664;92,379664;0;0;4;0;4
54;2521,54;1;901,5128;0,0;665,4608;0,0;0;6;6;0;0;0;0,0;0,0;0;0;2;0;2
55;1182,1524;3;0,0;48,638;964,3936;0,0;3;4;7;2;1;5;0,0;27,286748;0;0;3;0;3
56;7458,712;2;1721,586;258,2628;789,164;0,0;0;0;0;0;0;0;0,0;0,0;0;0;6;0;6
57;4747,2348;2;1505,243844;112,216;2958,3192;30,0;1;5;6;1;0;0;73,793308;115,91116;0;0;4;0;4
58;474,3948;0;217,887948;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
59;1988,8792;2;0,0;60,1584;1378,7296;0,0;0;1;1;1;1;0;0,0;21,6464;0;0;2;0;2
60;25401,1872;5;11388,213868;332,166;28852,9248;0,0;0;0;0;0;0;0;0,0;0,0;0;0;14;0;14
61;10625,66;0;6572,936;334,2244;5454,1292;0,0;0;0;0;0;0;0;0,0;0,0;0;0;4;0;4
62;427,616;0;304,45728;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;2;0;2
63;4885,4796;3;3939,032592;159,194;1891,4372;65,0;0;8;8;5;6;4;276,39;276,39;0;0;5;0;5
64;596,4048;0;600,7208;0,0;0,0;60,0;0;1;1;2;0;0;159,8912;159,8912;0;0;1;0;1
65;2921,8988;4;0,0;0,0;0,0;0,0;0;2;2;1;0;0;0,0;15,340392;0;0;4;0;4
66;2248,7356;3;692,597152;0,0;510,118;0,0;1;0;1;0;0;0;0,0;38,349652;0;0;4;0;4
67;717,2528;2;0,0;0,0;574,4928;0,0;0;0;0;0;0;0;0,0;0,0;0;0;3;0;3
68;8749,8932;6;3765,158548;10,9892;1204,4628;0,0;5;5;10;0;0;0;0,0;142,0296;0;0;11;0;11
69;829,4024;2;26,1948;0,0;194,386;0,0;0;0;0;0;0;0;0,0;0,0;0;0;3;0;3
70;4317,4276;5;0,0;0,0;0,0;0,0;4;4;8;0;0;0;0,0;309,092664;0;0;6;0;6
71;10152,4272;5;0,0;69,9192;9000,8188;0,0;0;9;9;0;0;0;0,0;0,0;0;0;6;0;6
72;469,78;1;0,0;0,0;343,3544;0,0;0;1;1;1;0;0;0,0;0,0;0;0;2;0;2
73;11734,208;4;3102,4736;240,3348;1436,4976;0,0;0;0;0;1;2;0;0,0;141,419052;0;0;9;0;9
74;546,9368;1;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
75;3623,0164;1;263,0104;0,0;365,2996;630,0;0;2;2;1;1;18;144,1212;144,1212;0;0;3;0;3
76;20062,2952;3;13471,800052;128,816;325,2604;0,0;1;0;1;0;0;0;0,0;72,760788;0;0;8;0;8
77;1992,0;0;0,0;0,0;1303,7308;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
78;9275,1504;5;2978,411176;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;7;0;7
79;2709,5848;1;1483,708;104,912;354,576;0,0;0;0;0;0;0;0;0,0;0,0;0;0;3;0;3
80;7800,34;0;3983,2696;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;2;0;2
81;3955,3484;4;0,0;0,0;3884,5328;0,0;0;4;4;2;1;1;87,9468;272,656328;0;0;5;0;5
82;2993,7436;1;548,45736;0,0;848,592;59,0;0;4;4;1;0;0;205,176;205,176;0;0;3;0;3
83;1069,4052;1;0,0;65,3376;457,3632;0,0;0;4;4;3;1;0;0,0;20,2022;0;0;2;0;2
84;694,8096;1;0,0;81,8048;1007,5868;0,0;0;2;2;0;0;0;0,0;0,0;0;0;1;0;1
85;27820,1724;1;19897,2248;233,23;7212,7332;479,0;0;11;11;8;5;6;3242,976;3242,976;0;0;6;0;6
86;885,4772;1;58,1996;91,3;991,6508;0,0;0;0;0;0;0;0;0,0;0,0;0;0;2;0;2
87;0,0;0;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
88;99,6;1;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
89;91972,632;3;33106,044;1025,6476;19281,5972;0,0;0;4;4;0;0;0;0,0;0,0;0;0;7;0;7
90;5112,8;0;0,0;162,348;1948,176;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
91;332,0;1;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
92;2709,8836;1;1832,894976;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;2;0;2
93;1177,0396;0;515,580728;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
94;1029,3992;4;0,0;98,604;295,812;0,0;0;1;1;0;0;0;0,0;0,0;0;0;5;0;5
95;4036,788;1;3122,849768;0,0;0,0;0,0;0;4;4;0;0;0;0,0;29,88;0;0;3;0;3
96;4386,0852;3;1959,0656;0,0;2300,7932;0,0;0;0;0;0;0;0;0,0;0,0;0;0;5;0;5
97;2473,4332;3;0,0;26,3608;2340,4008;0,0;0;3;3;1;0;0;24,9;84,930248;0;0;4;0;4
98;2292,4268;4;0,0;36,022;464,6008;1445,0;1;7;8;3;2;7;562,520216;1717,187;0;0;5;0;5
99;537,9064;1;0,0;0,0;718,2156;0,0;0;0;0;1;0;0;0,0;0,0;0;0;1;0;1
100;1457,314;0;770,0076;0,0;856,1284;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
101;6674,7604;4;1615,5452;597,6996;3979,9164;0,0;0;9;9;2;1;0;0,0;276,750552;0;0;7;0;7
102;753,9056;1;426,5868;0,0;405,9696;0,0;0;0;0;0;0;0;0,0;0,0;0;0;2;0;2
103;16135,2;0;13008,6564;3346,0288;12795,6784;0,0;0;0;0;0;0;0;0,0;0,0;0;0;6;0;6
104;9784,5048;3;1177,6372;0,0;0,0;0,0;2;2;4;1;0;0;0,0;52,506796;0;0;4;0;4
105;2353,88;0;2354,9424;0,0;3699,4428;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
106;889,7268;0;638,448948;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
107;1688,6516;0;1158,2816;213,2436;1292,7416;0,0;0;0;0;0;0;0;0,0;0,0;0;0;3;0;3
108;578,2444;2;0,0;0,0;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;2;0;2
109;15644,172;0;0,0;450,0592;0,0;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
110;3671,6212;2;694,5772;151,0268;0,0;120,0;0;3;3;4;0;2;257,0676;257,0676;0;0;4;0;4
111;664,0;0;0,0;77,0572;1203,998;0,0;0;0;0;0;0;0;0,0;0,0;0;0;1;0;1
112;1174,3172;1;679,835404;99,6;609,8176;16,0;0;2;2;0;0;0;10,331508;10,331508;0;0;3;0;3
113;2687,2744;1;2359,192;107,1364;489,2352;1020,0;0;5;5;4;1;31;1144,6032;1144,6032;0;0;6;0;6
114;1916,636;1;969,3736;0,0;1308,4784;0,0;0;0;0;0;0;0;0,0;0,0;0;0;2;0;2
